,bmw,acura,cadillac,audi,lexus,gm,infiniti,mercedes-benz,volvo,nissan
bmw,,1.306915561412368,1.8153918736982613,1.5707332746422307,1.7997985438608892,1.4876970251025938,1.6337743466330799,1.9762493814943098,1.3980913177592724,1.035351238466688
acura,1.306915561412368,,1.820664195611885,2.290152906219744,2.3876594164190563,1.0878049712827669,3.106457408272961,2.147258750247182,2.18454301810425,1.9817499621956751
cadillac,1.8153918736982613,1.820664195611885,,2.442721232256116,2.940312594382362,5.611005446528918,2.5507840028188866,2.9026162790697674,2.3056242784100283,1.6220502735978113
audi,1.5707332746422307,2.290152906219744,2.442721232256116,,2.1598519986507,1.648660261671414,2.2987898465171193,2.917694805194805,3.172906880353689,1.3158231474407944
lexus,1.7997985438608892,2.3876594164190563,2.940312594382362,2.1598519986507,,1.880051175590209,3.241883116883117,3.1795392107892106,2.4831445150594087,1.644778934300993
gm,1.4876970251025938,1.0878049712827669,5.611005446528918,1.648660261671414,1.880051175590209,,1.391960966542751,3.1408350014297968,1.8954362097603417,1.391960966542751
infiniti,1.6337743466330799,3.106457408272961,2.5507840028188866,2.2987898465171193,3.241883116883117,1.391960966542751,,2.618444055944056,2.132515312701483,3.420663435828877
mercedes-benz,1.9762493814943098,2.147258750247182,2.9026162790697674,2.917694805194805,3.1795392107892106,3.1408350014297968,2.618444055944056,,4.017423622476814,1.4825014140271493
volvo,1.3980913177592724,2.18454301810425,2.3056242784100283,3.172906880353689,2.4831445150594087,1.8954362097603417,2.132515312701483,4.017423622476814,,1.4840034418022527
nissan,1.035351238466688,1.9817499621956751,1.6220502735978113,1.3158231474407944,1.644778934300993,1.391960966542751,3.420663435828877,1.4825014140271493,1.4840034418022527,
