brand_a,brand_b,n_a,n_b,n_both,support_both,expected_n_both_if_independent,lift
cadillac,gm,258,269,65,0.01085,11.58,5.611
mercedes-benz,volvo,312,282,59,0.00985,14.69,4.017
infiniti,nissan,528,272,82,0.01369,23.97,3.421
lexus,infiniti,616,528,176,0.02938,54.29,3.242
lexus,mercedes-benz,616,312,102,0.01703,32.08,3.18
audi,volvo,770,282,115,0.0192,36.24,3.173
gm,mercedes-benz,269,312,44,0.00734,14.01,3.141
acura,infiniti,778,528,213,0.03555,68.57,3.106
cadillac,lexus,258,616,78,0.01302,26.53,2.94
audi,mercedes-benz,770,312,117,0.01953,40.1,2.918
cadillac,mercedes-benz,258,312,39,0.00651,13.44,2.903
infiniti,mercedes-benz,528,312,72,0.01202,27.5,2.618
cadillac,infiniti,258,528,58,0.00968,22.74,2.551
lexus,volvo,616,282,72,0.01202,29.0,2.483
cadillac,audi,258,770,81,0.01352,33.16,2.443
acura,lexus,778,616,191,0.03188,79.99,2.388
cadillac,volvo,258,282,28,0.00467,12.14,2.306
audi,infiniti,770,528,156,0.02604,67.86,2.299
acura,audi,778,770,229,0.03822,99.99,2.29
acura,volvo,778,282,80,0.01335,36.62,2.185
audi,lexus,770,616,171,0.02854,79.17,2.16
acura,mercedes-benz,778,312,87,0.01452,40.52,2.147
infiniti,volvo,528,282,53,0.00885,24.85,2.133
acura,nissan,778,272,70,0.01168,35.32,1.982
bmw,mercedes-benz,2021,312,208,0.03472,105.25,1.976
gm,volvo,269,282,24,0.00401,12.66,1.895
lexus,gm,616,269,52,0.00868,27.66,1.88
acura,cadillac,778,258,61,0.01018,33.5,1.821
bmw,cadillac,2021,258,158,0.02637,87.03,1.815
bmw,lexus,2021,616,374,0.06243,207.8,1.8
audi,gm,770,269,57,0.00951,34.57,1.649
lexus,nissan,616,272,46,0.00768,27.97,1.645
bmw,infiniti,2021,528,291,0.04857,178.12,1.634
cadillac,nissan,258,272,19,0.00317,11.71,1.622
bmw,audi,2021,770,408,0.0681,259.75,1.571
bmw,gm,2021,269,135,0.02253,90.74,1.488
volvo,nissan,282,272,19,0.00317,12.8,1.484
mercedes-benz,nissan,312,272,21,0.00351,14.17,1.483
bmw,volvo,2021,282,133,0.0222,95.13,1.398
gm,nissan,269,272,17,0.00284,12.21,1.392
gm,infiniti,269,528,33,0.00551,23.71,1.392
audi,nissan,770,272,46,0.00768,34.96,1.316
bmw,acura,2021,778,343,0.05725,262.45,1.307
acura,gm,778,269,38,0.00634,34.93,1.088
bmw,nissan,2021,272,95,0.01586,91.76,1.035
