,BMW,Acura,Cadillac,Audi,Lexus,GM,Infiniti,Mercedes-Benz,Volvo,Nissan
BMW,0.0,0.7651603741861578,0.550845255224609,0.6366453274683266,0.5556177403359942,0.6721798747503972,0.6120796314747035,0.5060090135202805,0.7152608612166369,0.9658558012457281
Acura,0.7651603741861578,0.0,0.5492501046651945,0.43665206689218694,0.4188202023803594,0.9192824324205606,0.32191009518973296,0.4657100593418864,0.45776164246369555,0.5046045258363736
Cadillac,0.550845255224609,0.5492501046651945,0.0,0.40937950135079165,0.3400998934298884,0.17822117792072725,0.3920363303576054,0.34451677516274415,0.43372201158881174,0.6165037029228052
Audi,0.6366453274683266,0.43665206689218694,0.40937950135079165,0.0,0.4629946869622172,0.606553104510567,0.4350114915963688,0.34273632671229065,0.31516840478108465,0.7599805505359489
Lexus,0.5556177403359942,0.4188202023803594,0.3400998934298884,0.4629946869622172,0.0,0.5319004147246511,0.3084626940410616,0.31451098215951384,0.4027151838869415,0.6079844404287591
GM,0.6721798747503972,0.9192824324205606,0.17822117792072725,0.606553104510567,0.5319004147246511,0.0,0.7184109497579703,0.31838667091546413,0.5275830412285094,0.7184109497579703
Infiniti,0.6120796314747035,0.32191009518973296,0.3920363303576054,0.4350114915963688,0.3084626940410616,0.7184109497579703,0.0,0.38190619262226677,0.4689298098090532,0.2923409504500653
Mercedes-Benz,0.5060090135202805,0.4657100593418864,0.34451677516274415,0.34273632671229065,0.31451098215951384,0.31838667091546413,0.38190619262226677,0.0,0.2489157465011076,0.6745356129432244
Volvo,0.7152608612166369,0.45776164246369555,0.43372201158881174,0.31516840478108465,0.4027151838869415,0.5275830412285094,0.4689298098090532,0.2489157465011076,0.0,0.673852884590043
Nissan,0.9658558012457281,0.5046045258363736,0.6165037029228052,0.7599805505359489,0.6079844404287591,0.7184109497579703,0.2923409504500653,0.6745356129432244,0.673852884590043,0.0
